metascore,rotten_tomatoes_rating,meta_critic_rating,budget,metascore_missing,rotten_tomatoes_rating_missing,meta_critic_rating_missing,budget_missing,total_wins,total_noms,oscar_wins,oscar_noms,bafta_wins,bafta_noms,release_date,release_year,release_month,release_day,is_weekend,is_holiday_season,movie_age,production_country_name,spoken_languages,first_billing_actor,second_billing_actor,third_billing_actor,main_director,main_writer,secondary_writer,imdb_rating,imdb_votes,title,tmdb_vote_count,tmdb_vote_average,genre_names,runtime_in_min,tmdb_popularity,production_company_name,age_rating
45.0,49.0,45.0,65000000.0,0,0,0,0,1,3,0,0,0,0,2000-07-07,2000,7,7,1,1,25,United States of America,English,Bruce Willis,Spencer Breslin,Emily Mortimer,Jon Turteltaub,Audrey Wells,Missing_data,6.1,45100.0,The Kid,1026,6.703,"Fantasy, Comedy, Family",104.0,14.776,"Walt Disney Pictures, Chester Films Inc., Junction",PG
50.0,54.0,50.0,60000000.0,0,0,0,0,2,3,0,0,0,0,1998-06-05,1998,6,5,1,1,27,United States of America,"Others,English",Michael Douglas,Gwyneth Paltrow,Viggo Mortensen,Andrew Davis,Frederick Knott,Patrick Smith Kelly,6.6,93750.0,A Perfect Murder,1395,6.54,"Crime, Thriller, Drama",107.0,20.637,"Kopelson Entertainment, Warner Bros. Pictures",R
81.0,92.0,81.0,4887675.434330153,0,0,0,1,4,11,0,0,4,0,1975-09-02,1975,9,2,0,0,50,Others,"English,French",Rachel Roberts,Anne-Louise Lambert,Vivean Gray,Peter Weir,Joan Lindsay,Cliff Green,7.4,42488.0,Picnic at Hanging Rock,795,7.2,"Drama, Mystery",115.0,10.73,"McElroy & McElroy, Picnic Productions Pty. Ltd., British Empire Films Australia, Australian Film Commission",PG
10.528004920097242,36.29959613830825,10.595350684887755,7320235.3104818165,1,1,1,1,1,0,0,0,0,0,2017-02-22,2017,2,22,0,0,8,"Others,France",French,Audrey Dana,Christian Clavier,Eric Elmosnino,Audrey Dana,Maud Ameline,Audrey Dana,4.9,1786.0,If I Were a Boy,374,5.3,Comedy,95.0,9.318,"Curiosa Films, Moana Films, TF1 Films Production",R
33.0,30.0,33.0,32000000.0,0,0,0,0,2,3,0,0,0,0,2007-08-01,2007,8,1,0,0,18,Others,"English,Others",Jason Behr,Amanda Brooks,Robert Forster,Hyung-rae Shim,Hyung-rae Shim,Missing_data,3.5,25560.0,Dragon Wars: D-War,418,4.5,"Fantasy, Drama, Horror, Action, Thriller, Science Fiction",90.0,12.511,"Younggu-Art Movies, Showbox",PG-13
11.946163371441354,96.0,12.022972293602061,150000.0,1,0,1,0,1,0,0,0,0,0,1960-05-16,1960,5,16,0,0,65,United Kingdom,English,Karlheinz Böhm,Anna Massey,Moira Shearer,Michael Powell,Leo Marks,Missing_data,7.6,40748.0,Peeping Tom,810,7.448,"Thriller, Horror, Drama",101.0,15.47,Michael Powell (Theatre),Not Rated
10.92083168382034,68.15851041041537,11.09313302517509,14030458.802371861,1,1,1,1,0,0,0,0,0,0,2017-11-29,2017,11,29,0,1,8,Others,Others,Kang Ha-neul,Yeon Je Hyung,Kim Mu-yeol,Jang Hang-jun,Jang Hang-jun,Missing_data,7.4,49746.0,Forgotten,1137,7.9,"Thriller, Mystery, Crime",108.0,20.621,"BA Entertainment, Michigan Venture Capital, Plus M Entertainment, Kiwi Media Group, Baram Pictures, Union Investment Partners, M-Line Distribution",TV-MA
71.0,69.0,71.0,12000000.0,0,0,0,0,3,14,3,0,0,0,1965-07-01,1965,7,1,0,1,60,United States of America,"English,Italian",Tony Curtis,Natalie Wood,Jack Lemmon,Blake Edwards,Arthur A. Ross,Blake Edwards,7.2,20316.0,The Great Race,324,7.1,"Comedy, Adventure, Action, Family, Romance",160.0,19.935,"Jalem Productions, Patricia Productions, Reynard Productions",Approved
90.0,86.0,90.0,15000000.0,0,0,0,0,24,27,24,0,0,0,1978-12-08,1978,12,8,1,1,47,"United Kingdom,United States of America","English,French,Others",Robert De Niro,Christopher Walken,John Cazale,Michael Cimino,Michael Cimino,Deric Washburn,8.1,372062.0,The Deer Hunter,3861,7.994,"Drama, War",183.0,30.242,"Universal Pictures, EMI Films",R
10.524400561121642,34.0,10.58612930653418,25000000.0,1,0,1,0,0,0,0,0,0,0,1996-09-13,1996,9,13,1,0,29,United States of America,English,Jean-Claude Van Damme,Natasha Henstridge,Jean-Hugues Anglade,Ringo Lam,Larry Ferguson,Missing_data,5.6,24407.0,Maximum Risk,505,5.757,"Action, Thriller, Crime",100.0,12.545,"Columbia Pictures, Roger Birnbaum Productions, Moshe Diamant Production",R
61.0,71.0,61.0,20000000.0,0,0,0,0,15,108,0,0,15,5,2023-11-16,2023,11,16,0,1,2,"United Kingdom,United States of America",English,Barry Keoghan,Jacob Elordi,Rosamund Pike,Emerald Fennell,Emerald Fennell,Missing_data,7.0,238350.0,Saltburn,2414,7.0,"Drama, Comedy, Thriller",131.0,25.149,"LuckyChap Entertainment, MRC, Lie Still",R
11.693469781024305,79.68176053730589,12.086515763654385,5500000.0,1,1,1,0,24,19,0,0,0,0,2007-02-23,2007,2,23,1,0,18,"Others,France","English,Italian",Stefano Accorsi,Margherita Buy,Pierfrancesco Favino,Ferzan Özpetek,Gianni Romoli,Ferzan Özpetek,6.7,4958.0,Saturn in Opposition,375,6.883,Drama,110.0,6.297,"Medusa Film, R&C Produzioni, Faros Film, UGCYM, AFS Film, Eurimages, MiC, Sky Cinema",Unrated
13.0,12.0,13.0,50000000.0,0,0,0,0,0,4,0,0,0,0,1995-11-03,1995,11,3,1,1,30,United States of America,"English,Others",William Baldwin,Cindy Crawford,Steven Berkoff,Andrew Sipes,Paula Gosling,Charlie Fletcher,4.4,14157.0,Fair Game,301,5.1,Action,91.0,15.433,"Silver Pictures, Warner Bros. Pictures",R
46.0,60.0,46.0,14000000.0,0,0,0,0,2,11,2,1,0,0,2019-04-10,2019,4,10,0,0,6,United States of America,English,Marcel Ruiz,Topher Grace,Sarah Constible,Roxann Dawson,Joyce Smith,Grant Nieporte,6.3,11366.0,Breakthrough,1083,7.6,Drama,116.0,20.432,"Fox 2000 Pictures, 20th Century Fox",PG
64.0,82.0,64.0,6000000.0,0,0,0,0,0,2,0,0,0,0,2008-06-04,2008,6,4,0,1,17,"Others,France","English,French",Jean-Claude Van Damme,Valérie Bodson,Hervé Sogne,Mabrouk El Mechri,Mabrouk El Mechri,Frédéric Benudis,7.0,40576.0,JCVD,514,6.647,"Drama, Action, Comedy, Crime",96.0,9.477,"Gaumont, Samsa Film, Artémis Productions, Bankable, La SOFICA Cofinova 4, CinéCinéma, Film Fund Luxembourg, Cofinova 4, Canal+, RTBF",R
63.0,59.0,63.0,8000000.0,0,0,0,0,0,2,0,0,0,0,2010-10-08,2010,10,8,1,0,15,United States of America,English,Keir Gilchrist,Zach Galifianakis,Emma Roberts,Anna Boden,Anna Boden,Ryan Fleck,7.1,149991.0,It's Kind of a Funny Story,2339,6.968,"Comedy, Drama",102.0,13.607,"Focus Features, Wayfare Entertainment, Misher Films, Journeyman Pictures, Gowanus Projections, Start Media",PG-13
56.0,51.0,56.0,30000000.0,0,0,0,0,0,4,0,0,0,0,2012-04-13,2012,4,13,1,0,13,United States of America,English,Sean Hayes,Chris Diamantopoulos,Will Sasso,Bobby Farrelly,Mike Cerrone,Bobby Farrelly,5.1,33620.0,The Three Stooges,589,5.8,Comedy,92.0,17.031,"Wessler Entertainment, 20th Century Fox, Conundrum Entertainment, C3 Entertainment, Inc., Dune Entertainment",PG
51.0,55.0,51.0,52000000.0,0,0,0,0,16,27,0,0,16,3,2008-07-03,2008,7,3,0,1,17,"Germany,United Kingdom,United States of America","English,Others",Meryl Streep,Pierce Brosnan,Amanda Seyfried,Phyllida Lloyd,Catherine Johnson,Missing_data,6.5,286894.0,Mamma Mia!,6584,7.0,"Comedy, Romance",108.0,34.929,"Littlestar, Playtone, Internationale Filmproduktion Richter",PG-13
71.0,87.0,71.0,3500000.0,0,0,0,0,8,22,0,0,0,0,2005-07-08,2005,7,8,1,1,20,United Kingdom,English,Shauna Macdonald,Natalie Mendoza,Alex Reid,Neil Marshall,Neil Marshall,Missing_data,7.2,256425.0,The Descent,3949,6.963,"Adventure, Horror",99.0,40.934,"Celador Films, Northmen Productions, Pathe",R
10.292384480020525,0.0,10.266580614872343,25000000.0,1,0,1,0,0,0,0,0,0,0,2002-05-10,2002,5,10,1,0,23,"United Kingdom,United States of America",English,Heather Graham,Joseph Fiennes,Natascha McElhone,Kaige Chen,Sean French,Kara Lindstrom,5.4,19922.0,Killing Me Softly,325,5.5,Thriller,100.0,16.9,"Noelle Entertainment Limited, The Montecito Picture Company",Unrated
47.0,55.0,47.0,2000000.0,0,0,0,0,3,0,0,0,0,0,1993-10-01,1993,10,1,1,0,32,"United States of America,Others","Spanish,English",J. Trevor Edmond,Melinda Clarke,Kent McCord,Brian Yuzna,John Penney,Missing_data,5.9,17498.0,Return of the Living Dead III,847,6.555,"Horror, Romance",97.0,17.432,"Ozla Productions, Bandai Visual",R
36.0,16.0,36.0,15000000.0,0,0,0,0,0,0,0,0,0,0,2011-11-04,2011,11,4,1,1,14,United States of America,English,Channing Tatum,Al Pacino,Juliette Binoche,Dito Montiel,Dito Montiel,Missing_data,5.1,18179.0,The Son of No One,311,5.1,"Drama, Thriller, Crime",90.0,8.915,"Millennium Media, Nu Image, Millenium Films",R
10.81259056381264,43.0,10.898724540444137,26000000.0,1,0,1,0,0,0,0,0,0,0,1994-03-04,1994,3,4,1,0,31,United States of America,English,Charlie Sheen,Kristy Swanson,Henry Rollins,Adam Rifkin,Adam Rifkin,Missing_data,5.9,22562.0,The Chase,353,5.8,"Adventure, Comedy, Action, Crime",89.0,10.887,"Capitol Films, Hercules Films, 20th Century Fox, Taurus Film",PG-13
54.0,62.0,54.0,28000000.0,0,0,0,0,1,8,0,0,0,0,2014-10-08,2014,10,8,0,0,11,United States of America,English,Steve Carell,Jennifer Garner,Ed Oxenbould,Miguel Arteta,Rob Lieber,Judith Viorst,6.2,47341.0,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",1337,6.2,"Family, Comedy",81.0,12.646,"Walt Disney Pictures, 21 Laps Entertainment, The Jim Henson Company",PG
86.0,84.0,86.0,10000000.0,0,0,0,0,6,61,0,0,0,0,2024-05-03,2024,5,3,1,0,1,United States of America,English,Justice Smith,Brigette Lundy-Paine,Ian Foreman,Jane Schoenbrun,Jane Schoenbrun,Missing_data,5.8,30546.0,I Saw the TV Glow,410,6.1,"Drama, Horror",100.0,34.743,"A24, Fruit Tree, Smudge Films, Hypnic Jerk, Access Entertainment",PG-13
89.0,95.0,89.0,14000000.0,0,0,0,0,8,16,8,0,0,0,1968-09-19,1968,9,19,0,0,57,United States of America,English,Barbra Streisand,Omar Sharif,Kay Medford,William Wyler,Isobel Lennart,Missing_data,7.4,25731.0,Funny Girl,396,7.2,"Comedy, Drama, Romance",155.0,8.642,"Columbia Pictures, Rastar Productions",G
47.0,44.0,47.0,84000000.0,0,0,0,0,0,3,0,0,0,0,2013-07-18,2013,7,18,0,1,12,United States of America,"English,French,Others",Bruce Willis,Helen Mirren,John Malkovich,Dean Parisot,Jon Hoeber,Erich Hoeber,6.6,183732.0,RED 2,4057,6.5,"Action, Comedy, Crime, Thriller",116.0,29.348,"di Bonaventura Pictures, DC",PG-13
46.0,31.0,46.0,120000000.0,0,0,0,0,0,3,0,0,0,0,2010-12-17,2010,12,17,1,1,15,United States of America,English,Reese Witherspoon,Paul Rudd,Owen Wilson,James L. Brooks,James L. Brooks,Missing_data,5.4,55643.0,How Do You Know,988,5.3,"Comedy, Drama, Romance",121.0,16.352,"Columbia Pictures, Gracie Films, Road Rebel",PG-13
53.0,58.0,53.0,65000000.0,0,0,0,0,2,12,0,0,0,0,2023-04-07,2023,4,7,1,0,2,United States of America,"English,Others",Nicholas Hoult,Nicolas Cage,Awkwafina,Chris McKay,Ryan Ridley,Robert Kirkman,6.4,104395.0,Renfield,1781,6.5,"Comedy, Horror, Action",93.0,21.702,"Skybound Entertainment, Universal Pictures, Giant Wildcat",R
70.0,81.0,70.0,12000000.0,0,0,0,0,7,36,7,1,0,0,2007-10-12,2007,10,12,1,0,18,United States of America,"Spanish,English",Ryan Gosling,Emily Mortimer,Paul Schneider,Craig Gillespie,Nancy Oliver,Missing_data,7.3,159741.0,Lars and the Real Girl,1851,7.195,"Comedy, Drama, Romance",106.0,17.075,"Sidney Kimmel Entertainment, Lars Productions",PG-13
85.0,91.0,85.0,700000.0,0,0,0,0,29,48,29,1,0,0,2006-08-11,2006,8,11,1,0,19,United States of America,English,Ryan Gosling,Anthony Mackie,Shareeka Epps,Ryan Fleck,Ryan Fleck,Anna Boden,7.1,93165.0,Half Nelson,875,6.641,Drama,107.0,9.102,"Hunting Lane Films, Journeyman Pictures, Original Media, Silverwood Films, Traction Media",R
62.0,45.0,62.0,6000000.0,0,0,0,0,1,4,0,0,0,0,2017-06-23,2017,6,23,1,1,8,United States of America,English,Suki Waterhouse,Jason Momoa,Jayda Fink,Ana Lily Amirpour,Ana Lily Amirpour,Missing_data,5.2,36272.0,The Bad Batch,1089,5.3,"Drama, Horror, Science Fiction",119.0,12.098,"Annapurna Pictures, Vice Studios, Human Stew Factory",R
60.0,72.0,60.0,18000000.0,0,0,0,0,5,7,0,0,0,0,1998-02-13,1998,2,13,1,0,27,United States of America,English,Adam Sandler,Drew Barrymore,Christine Taylor,Frank Coraci,Tim Herlihy,Missing_data,6.9,166561.0,The Wedding Singer,1755,6.765,"Romance, Comedy",97.0,15.314,"Robert Simonds Productions, Juno Pix, New Line Cinema",PG-13
73.0,94.0,73.0,15000000.0,0,0,0,0,4,30,0,0,0,0,2016-09-23,2016,9,23,1,0,9,United States of America,English,Madina Nalwanga,David Oyelowo,Lupita Nyong'o,Mira Nair,William Wheeler,Tim Crothers,7.4,19189.0,Queen of Katwe,435,7.2,Drama,124.0,8.999,"Cine Mosaic, Mirabai Films",PG
10.872116710560311,49.9459762767474,10.81216030733521,17820000.0,1,1,1,0,0,0,0,0,0,0,2004-01-28,2004,1,28,0,0,21,France,French,Marina Foïs,Gérard Depardieu,Damien Jouillerot,Alain Chabat,Maurice Barthélémy,Alain Chabat,5.8,15334.0,RRRrrrr!!!,1171,6.323,Comedy,94.0,19.579,"StudioCanal, Les Robins des Bois Airlines, TF1 Films Production, Chez Wam",R
47.0,33.0,47.0,150000000.0,0,0,0,0,5,36,0,0,0,0,2003-11-05,2003,11,5,0,1,22,United States of America,"English,French",Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Lana Wachowski,Lilly Wachowski,Lana Wachowski,6.7,556490.0,The Matrix Revolutions,10023,6.7,"Adventure, Action, Thriller, Science Fiction",129.0,38.17,"Village Roadshow Pictures, NPV Entertainment, Silver Pictures",R
80.0,87.0,80.0,75000000.0,0,0,0,0,5,34,0,0,5,0,2007-07-25,2007,7,25,0,1,18,United States of America,English,Dan Castellaneta,Julie Kavner,Nancy Cartwright,David Silverman,James L. Brooks,Matt Groening,7.3,355903.0,The Simpsons Movie,8062,7.01,"Animation, Comedy, Family",87.0,64.39,"Gracie Films, 20th Century Fox",PG-13
10.666415186548301,35.0,10.745528146598238,3500000.0,1,0,1,0,1,2,0,0,0,0,2016-07-24,2016,7,24,1,1,9,United States of America,English,Kevin Conroy,Mark Hamill,Tara Strong,Sam Liu,Brian Azzarello,Brian Bolland,6.4,62838.0,Batman: The Killing Joke,1824,6.6,"Action, Animation, Crime, Drama",77.0,15.902,"Warner Bros. Animation, DC Entertainment",Not Rated
79.0,85.0,79.0,13000000.0,0,0,0,0,98,279,98,0,0,0,2010-12-03,2010,12,3,1,1,15,United States of America,"English,French,Italian",Natalie Portman,Mila Kunis,Vincent Cassel,Darren Aronofsky,Mark Heyman,Andres Heinz,8.0,847805.0,Black Swan,14628,7.687,"Drama, Thriller, Horror",109.0,71.113,"Fox Searchlight Pictures, Cross Creek Pictures, Protozoa Pictures, Phoenix Pictures, Dune Entertainment",R
10.325115855781196,13.0,10.319184687716266,16560160.332531175,1,0,1,1,1,0,0,0,0,0,1991-10-25,1991,10,25,1,0,34,United States of America,English,Jim Belushi,Kelly Lynch,Alisan Porter,John Hughes,John Hughes,Missing_data,5.9,23694.0,Curly Sue,532,6.4,"Comedy, Drama, Family, Romance",101.0,15.263,"Hughes Entertainment, Warner Bros. Pictures",PG
55.0,50.0,55.0,26000000.0,0,0,0,0,0,3,0,1,0,0,1990-08-10,1990,8,10,1,0,35,United States of America,English,Kiefer Sutherland,Kevin Bacon,Julia Roberts,Joel Schumacher,Peter Filardi,Missing_data,6.6,95184.0,Flatliners,1560,6.5,"Drama, Science Fiction, Horror",115.0,15.16,"Stonebridge Entertainment, Columbia Pictures",R
66.0,74.0,66.0,19249838.453369703,0,0,0,1,13,10,0,0,0,0,2005-01-28,2005,1,28,1,0,20,"Others,United States of America",Spanish,Carlos Padilla,Leonor Varela,Xuna Primus,Luis Mandoki,Luis Mandoki,Oscar Orlando Torres,7.8,8319.0,Innocent Voices,493,8.164,"Drama, War",120.0,24.43,"Santo Domingo Films, Altavista Films, MUVI Films, Lawrence Bender Productions, Organización Santo Domingo, A Band Apart, Lions Gate Films",R
81.0,96.0,81.0,5028201.823616111,0,0,0,1,12,58,0,0,0,0,2018-06-29,2018,6,29,1,1,7,United Kingdom,"English,French",Robert Shafran,Michael Domnitz,Howard Schneider,Tim Wardle,Grace Hughes-Hallett,Tim Wardle,7.6,42421.0,Three Identical Strangers,718,7.339,Documentary,97.0,9.257,RAW,PG-13
87.0,94.0,87.0,8195618.997040074,0,0,0,1,31,41,0,0,31,1,2014-08-15,2014,8,15,1,0,11,"Others,France","French,Others,English",Johannes Kuhnke,Lisa Loven Kongsli,Clara Wettergren,Ruben Östlund,Ruben Östlund,Missing_data,7.2,69765.0,Force Majeure,1078,6.9,Drama,120.0,12.204,"Motlys, Coproduction Office, Film i Väst, Plattform Produktion, Parisienne, Auvergne-Rhône-Alpes Cinéma",R
70.0,66.0,70.0,6000000.0,0,0,0,0,8,10,8,1,0,0,1978-07-07,1978,7,7,1,1,47,"United Kingdom,United States of America",English,John Travolta,Olivia Newton-John,Stockard Channing,Randal Kleiser,Jim Jacobs,Warren Casey,7.2,309050.0,Grease,7270,7.384,"Romance, Comedy",110.0,44.25,"Paramount Pictures, Robert Stigwood Organization, Fine Arts Films",PG
57.0,62.0,57.0,50000000.0,0,0,0,0,0,3,0,0,0,0,2016-08-18,2016,8,18,0,0,9,United States of America,"Others,English",Jonah Hill,Miles Teller,Steve Lantz,Todd Phillips,Stephen Chin,Todd Phillips,7.1,269010.0,War Dogs,4986,6.923,"Comedy, Crime, Drama",114.0,56.021,"The Mark Gordon Company, Joint Effort, RatPac Entertainment",R
53.0,55.0,53.0,36000000.0,0,0,0,0,1,12,0,0,0,0,2011-01-13,2011,1,13,0,0,14,"Canada,United Kingdom,United States of America",English,James McAvoy,Emily Blunt,Maggie Smith,Kelly Asbury,Andy Riley,Kevin Cecil,5.9,60898.0,Gnomeo & Juliet,1965,5.862,"Animation, Family",84.0,17.108,"Touchstone Pictures, Starz Animation, Rocket Pictures, Miramax, Mandate International",G
12.024615476282253,83.0,12.09483842870634,5000000.0,1,0,1,0,3,5,0,0,0,0,2015-04-18,2015,4,18,1,0,10,Others,Others,Masako Nozawa,Ryô Horikawa,Hiromi Tsuru,Tadayoshi Yamamuro,Akira Toriyama,Missing_data,7.2,24376.0,Dragon Ball Z: Resurrection 'F',1928,6.8,"Action, Animation, Science Fiction",93.0,42.682,"Toei Animation, Fizz Sound Creation, Toei Company, Fox International Productions Japan, Shueisha, Fuji Television Network, Bandai, Bandai Namco Group",Not Rated
17.0,2.0,17.0,20000000.0,0,0,0,0,2,3,0,0,0,0,2007-01-25,2007,1,25,0,0,18,United States of America,English,Kal Penn,Jennifer Coolidge,Fred Willard,Jason Friedberg,Jason Friedberg,Aaron Seltzer,2.4,110503.0,Epic Movie,1546,3.9,"Comedy, Adventure, Fantasy",85.0,15.332,"Regency Enterprises, New Regency Pictures, Paul Schiff Productions, 20th Century Fox",PG-13
73.0,82.0,73.0,5400000.0,0,0,0,0,5,9,5,0,0,0,1967-06-15,1967,6,15,0,1,58,"United Kingdom,United States of America","Others,English,German,French,Spanish",Lee Marvin,Ernest Borgnine,Charles Bronson,Robert Aldrich,Nunnally Johnson,Lukas Heller,7.7,80885.0,The Dirty Dozen,1214,7.592,"Action, Adventure, War",149.0,18.077,"Seven Arts Pictures, MKH, Metro-Goldwyn-Mayer",Approved
57.0,77.0,57.0,150000000.0,0,0,0,0,5,30,0,0,0,0,2011-04-21,2011,4,21,0,0,14,United States of America,English,Chris Hemsworth,Anthony Hopkins,Natalie Portman,Kenneth Branagh,Ashley E. Miller,Zack Stentz,7.0,925433.0,Thor,21327,6.8,"Adventure, Fantasy, Action",115.0,77.096,"Marvel Studios, Marvel Entertainment",PG-13
43.0,37.18697132221924,43.0,29078645.32470664,0,1,0,1,1,4,0,0,0,0,2004-10-15,2004,10,15,1,0,21,"Germany,United States of America",English,Robin Williams,Jim Caviezel,Mira Sorvino,Omar Naim,Omar Naim,Missing_data,6.1,35003.0,The Final Cut,702,6.0,"Drama, Mystery, Science Fiction, Thriller",95.0,9.663,"Lionsgate, Cinerenta, Industry Entertainment",PG-13
76.0,85.0,76.0,27000000.0,0,0,0,0,4,22,4,1,0,0,2008-09-25,2008,9,25,0,0,17,"Others,France,Germany","German,Others,French,English",Martina Gedeck,Moritz Bleibtreu,Johanna Wokalek,Uli Edel,Bernd Eichinger,Uli Edel,7.3,40508.0,The Baader Meinhof Complex,586,7.0,"Action, Crime, Drama, History, Thriller",150.0,13.056,"G.T. Film Production, NEF, ARD Degeto, NDR, Dune Films, WDR, BR, Constantin Film",R
44.0,30.0,44.0,17000000.0,0,0,0,0,0,0,0,0,0,0,1989-04-28,1989,4,28,1,0,36,United States of America,English,Jim Belushi,Mel Harris,Kevin Tighe,Rod Daniel,Steven Siegel,Scott Myers,6.1,36380.0,K-9,975,6.1,"Action, Comedy, Crime",101.0,15.627,"Gordon Company, Universal Pictures",PG-13
50.0,58.0,50.0,35000000.0,0,0,0,0,0,0,0,0,0,0,1999-02-12,1999,2,12,1,0,26,United States of America,"Others,English,French,German",Brendan Fraser,Alicia Silverstone,Christopher Walken,Hugh Wilson,Bill Kelly,Hugh Wilson,6.7,73462.0,Blast from the Past,1107,6.8,"Drama, Romance, Comedy",112.0,81.058,"Midnight Sun Pictures, New Line Cinema, Forge",PG-13
43.0,40.0,43.0,7000000.0,0,0,0,0,2,0,0,0,0,0,1974-12-04,1974,12,4,0,1,51,United Kingdom,"Others,English",Roger Moore,Christopher Lee,Britt Ekland,Guy Hamilton,Richard Maibaum,Tom Mankiewicz,6.7,115986.0,The Man with the Golden Gun,2065,6.443,"Adventure, Action, Thriller",125.0,26.753,"EON Productions, United Artists",PG
10.970026946750384,54.29834959996058,11.063460396478174,5610794.203557176,1,1,1,1,0,2,0,0,0,0,2015-04-29,2015,4,29,0,0,10,"Others,France",French,Camille Cottin,Cécile Boland,Lou Cottin,Eloïse Lang,Eloïse Lang,Noémie Saglio,5.6,1630.0,The Parisian Bitch,472,5.82,Comedy,80.0,6.778,LGM Productions,Not Rated
63.0,50.0,63.0,50000000.0,0,0,0,0,3,16,3,1,0,0,2002-05-10,2002,5,10,1,0,23,"United States of America,Others,Germany","English,French",Richard Gere,Diane Lane,Olivier Martinez,Adrian Lyne,Claude Chabrol,Alvin Sargent,6.7,101773.0,Unfaithful,1557,6.665,"Thriller, Drama, Romance",124.0,50.71,"Fox 2000 Pictures, Regency Enterprises, Epsilon Motion Pictures, Unfaithful Filmproduktion",R
43.0,31.0,43.0,34115376.015173875,0,0,0,1,0,2,0,0,0,0,2009-01-30,2009,1,30,1,0,16,United States of America,English,Emily Browning,Arielle Kebbel,Elizabeth Banks,Charles Guard,Craig Rosenberg,Doug Miro,6.3,86742.0,The Uninvited,1512,6.449,Horror,87.0,17.027,"DreamWorks Pictures, Cold Spring Pictures, Parkes+MacDonald Image Nation, The Montecito Picture Company, Vertigo Entertainment",PG-13
75.0,93.0,75.0,2000000.0,0,0,0,0,3,11,3,4,0,0,1960-07-07,1960,7,7,0,1,65,United States of America,"English,Italian",Spencer Tracy,Fredric March,Gene Kelly,Stanley Kramer,Nedrick Young,Harold Jacob Smith,8.1,33439.0,Inherit the Wind,418,7.669,Drama,128.0,13.419,"Stanley Kramer Productions, United Artists",Approved
59.0,71.0,59.0,50685485.55400657,0,0,0,1,0,4,0,0,0,0,2021-01-15,2021,1,15,1,0,4,"Others,United States of America","Others,English",Jimmy Wong,John Cho,Constance Wu,Chris Appelhans,Chris Appelhans,Xiaocao Liu,7.2,35402.0,Wish Dragon,1359,7.9,"Animation, Family, Comedy, Fantasy",99.0,34.586,"Sony Pictures Animation, Tencent Pictures, Base FX, Beijing Sparkle Roll Media Corporation, Flagship Entertainment Group, Columbia Pictures",PG
77.0,98.0,77.0,2000000.0,0,0,0,0,1,7,0,0,0,0,1988-02-26,1988,2,26,1,0,37,United States of America,English,Sonny Bono,Ruth Brown,Divine,John Waters,John Waters,Missing_data,7.0,23867.0,Hairspray,412,6.803,Comedy,92.0,15.544,New Line Cinema,PG
75.0,91.0,75.0,3100000.0,0,0,0,0,1,0,0,0,0,0,1972-09-10,1972,9,10,1,0,53,United States of America,English,Robert Redford,Will Geer,Delle Bolton,Sydney Pollack,Vardis Fisher,Raymond W. Thorp,7.6,36260.0,Jeremiah Johnson,614,7.3,"Adventure, Western",108.0,16.364,"Sanford Productions (III), Warner Bros. Pictures",GP
49.0,56.0,49.0,35000000.0,0,0,0,0,0,0,0,0,0,0,1995-02-09,1995,2,9,0,0,30,"Others,United States of America","English,Spanish",Sharon Stone,Gene Hackman,Russell Crowe,Sam Raimi,Simon Moore,Missing_data,6.5,106600.0,The Quick and the Dead,1750,6.554,"Western, Action, Drama, Romance, Thriller",107.0,21.837,"TriStar Pictures, IndieProd Company Productions",R
72.0,85.59256450366273,72.0,151000000.0,0,1,0,0,4,19,0,0,0,0,2023-03-23,2023,3,23,0,0,2,"Canada,United States of America",English,Chris Pine,Michelle Rodriguez,Regé-Jean Page,John Francis Daley,Jonathan Goldstein,John Francis Daley,7.2,252180.0,Dungeons & Dragons: Honor Among Thieves,3807,7.342,"Adventure, Fantasy, Comedy",134.0,73.333,"Entertainment One, Paramount Pictures",PG-13
56.0,55.0,56.0,47000000.0,0,0,0,0,3,2,0,0,0,0,1996-06-10,1996,6,10,0,1,29,United States of America,English,Jim Carrey,Matthew Broderick,Leslie Mann,Ben Stiller,Lou Holtz Jr.,Missing_data,6.1,182367.0,The Cable Guy,2455,6.0,"Comedy, Drama, Thriller",96.0,16.381,"Columbia Pictures, Brillstein-Grey Entertainment, Licht/Mueller Film Corporation",PG-13
10.33888786230427,0.0,10.400852492808614,30000000.0,1,0,1,0,0,0,0,0,0,0,2010-03-20,2010,3,20,1,0,15,"Others,United States of America","Others,English",Jon Foo,Kelly Overton,Cary-Hiroyuki Tagawa,Dwight H. Little,Alan B. McElroy,Missing_data,4.8,28882.0,Tekken,690,5.372,"Crime, Drama, Action, Thriller, Science Fiction",92.0,14.576,"Namco, Crystal Sky Pictures, Warner Bros. Pictures, GAGA Communications, Warner Bros. Japan",R
11.067732699770987,62.974740466596494,11.177616368176674,5000000.0,1,1,1,0,1,0,0,0,0,0,2007-03-03,2007,3,3,1,0,18,Others,Others,Kenji Mizuhashi,Yoshimi Kondou,Satomi Hanamura,Makoto Shinkai,Makoto Shinkai,Missing_data,7.5,66213.0,5 Centimeters per Second,1967,7.3,"Animation, Romance, Drama",63.0,23.921,CoMix Wave Films,TV-PG
